Workshop,Kategorie,Datum,Land,Location,Pole Studio,URL_E,Art,Level,Beschreibung,Trainer,Uhrzeit,Preis,Einheiten
Aerial Hoop Basics,Aerial Hoop,"Begann am Freitag, 10. Januar 2025",,17:15 - 18:15,POLE HEROES,https://www.eversports.de/e/workshop/wwr2Xjw,Workshop,,"Dies ist ein Anfängerkurs. In diesem 4-Wochen-Kurs lernt ihr die Basics am Hoop. Bitte bringt eine Leggings und ein langärmliges Oberteil mit :) Die Anmeldung ist ab Freitag, den 29.11.2024, um 12.30 Uhr möglich.",,"Karl-Zucker-Straße 7-9, 91052 Erlangen","ab 90,00 €",4 Einheiten
Aerial Hoop 1,Aerial Hoop,"Begann am Freitag, 10. Januar 2025",,"Karl-Zucker-Straße 7-9, 91052 Erlangen",POLE HEROES,https://www.eversports.de/e/workshop/IW5BTWs,Workshop,,"In diesem 4-Wochen-Kurs lernt ihr verschiedene Tricks am Hoop. Dieser Kurs ist für alle geeignet, die die Basics im Aerial Hoop schon können, wie Gazelle und Star in the Bar oder an der Pole schon einen Aerial Invert geschafft haben. Bitte bringt eine Leggings und ein langärmliges Oberteil mit :) Auch wenn ihr schon einen Hoop 1 Kurs besucht habt, ist der Kurs für euch geeigent. Anja hat jede Menge neue Tricks für euch :) Die Anmeldung ist ab Freitag, den 29.11.2024, um 12.30 Uhr möglich.",,"Karl-Zucker-Straße 7-9, 91052 Erlangen","ab 105,00 €",4 Einheiten
Stripplastic Blockkurs,Tanzen,"Begann am Samstag, 18. Januar 2025",,14:30 - 16:00,Papillon Dance and Sport Academy,https://www.eversports.de/e/workshop/yZNBpfx,Workshop,,"Sexy tanzen geht auch ohne Stange! Bei Stripplastic handelt es sich um eine Mischung aus modernem Tanz und sinnlichen, erotischen Bewegungen. Ob schnell oder langsam, Stripplastic fordert den kompletten Körper und lässt dein Selbstbewusstsein aufblühen! Was du brauchst: Falls vorhanden, kann in Tanzschuhen mit Absatz oder einem Paar High Heels (das auch in Mitleidenschaft gezogen werden darf) getanzt werden, Pleaser eignen sich hier nicht. Alternativ können aber auch problemlos Socken oder Strümpfe getragen werden. Weiterhin empfehlen wir das Tragen von Knieschonern. Bitte beachte, bei diesem Kurs werden alle 4 Termine zusammen gebucht, Einzelbuchungen der Termine sind nicht möglich. Die Stunden bauen aufeinander auf und du erlernst eine längere Choreographie mit Liebe zum Detail.",,"Hardtstraße 39a, 76185 Karlsruhe","ab 99,00 €",4 Einheiten
Luftakrobatik mit dem Aerial Hoop!,Aerial Hoop,"Samstag, 22. März 2025",,14:30 - 16:00,Papillon Dance and Sport Academy,https://www.eversports.de/e/workshop/bnt-g1T,Workshop,,"Diese Sportart kombiniert Kraft und Körperspannung in einem schwebenden Reifen, der an der Decke befestigt ist. Im Workshop lernst du die Grundlagen dieser ästhetischen Akrobatik: einfache Figuren, Drehungen und elegante Übergänge. Schritt für Schritt baust du Vertrauen, Kraft und Beweglichkeit auf – keine Vorkenntnisse erforderlich!",,14:30 - 16:00,"ab 35,00 €",1 Einheit
"Kraft-, Muskelaufbau & Verletzungsprophylaxe",Polesport,"Freitag, 14. Februar 2025",,"Early Bird Preis bis 31.01, anschließend 29€",Pole Acrobatics,https://www.eversports.de/e/workshop/DV16pUU,Workshop,,"In diesem Workshop beantworten wir nicht nur alle Fragen rund um das Thema Kraft- und Muskelaufbau, sondern wir lernen auch alles Wichtige zum Thema Verletzungsprophylaxe und wie ihr eine mental gesunde Einstellung zu Sport und eurem Körper aufbauen könnt. Fragen die behandelt werden sind beispielsweiße: Trainingsreiz, Trainingsanzahl, Trainingsdauer, wie sieht der aktuelle Forschungsstand dazu aus? Wie baue ich Kraft- und Muskulatur auf und Fett ab? Wie sinnvoll ist Ausdauertraining und wozu ist es gut? Welche Alternativen gibt es zum Muskelaufbau außer das Fitnessstudio? Wie verhindere ich Verletzungen beim Pole Sport? Was kann ich Zuhause tun um meinen Körper optimal zu unterstützen? Wie sieht eigentlich eine gute Regeneration aus und was hat es mit Deloads auf sich? Sehr gerne dürft ihr natürlich auch weitere Fragen stellen und ich würde mich freuen, wenn wir uns am Ende der Vortrags auch zu dem Thema austauschen. Bringt gerne eine Yogamatte mit, um eine bequeme Sitzunterlage zu haben und unbedingt einen Notizblock und einen Stift. Damit es für euch auch etwas anschaulicher wird bereite ich einige Grafiken vor, die Grafiken dürft ihr euch gerne auch nach dem Vortrag abfotografieren.",,17:30 - 19:00,"ab 25,00 €",1 Einheit
Kopf- und Unterarmstand (an der Wand/frei),Handstand,"Freitag, 28. Februar 2025",,"Early Bird Preis bis 31.01, anschließend 29€",Pole Acrobatics,https://www.eversports.de/e/workshop/-wjxMXI,Workshop,,"In diesem Workshop lernen wir viele verschiedene Kopf- und Unterarmstandvarianten sowie Vorübungen dieser. Hierbei arbeiten wir viel an der Wand (oder falls ihr euch traut auch frei), sodass ihr das Gelernte jederzeit auch Zuhause ohne Pole Stange nochmals üben könnt. Alle Figuren lassen sich jedoch auch prima an die Pole übertragen und eignen sich sowohl mit als auch ohne Pole als tolle Fotoposen. Für diesen Workshop brauchst du keinerlei Vorkenntnisse, da man alle Figuren super auch als Beginner mit der Unterstützung der Wand machen kann. Für die fortgeschritteren Mädels habe ich aber natürlich auch Varianten ohne Wand und Bendy Tricks im Gepäck ;) Die hier besprochene Technik ist später auch wichtig für euren Handstand, falls dieser also euer Ziel macht dieser Workshop viel Sinn auch zu besuchen. Bitte bringe unbedingt weiße und saubere Socken zu dem Workshop zusätzlich zu deinen Socken mit, die du trägst wenn du kommst. Damit unsere Wände keine dunklen/bunten/schmutzigen Streifen bekommen ist es sehr wichtig vor Kursbeginn diese zu tauschen.",,17:30 - 19:00,"ab 25,00 €",1 Einheit
★DAN ROSEN★ Heels Flow Choreo,Poledance,"Samstag, 8. Februar 2025",,Einzelticket,Pole Dance Krefeld,https://www.eversports.de/e/workshop/rBi95-V,Workshop,,"For the slower slinkier poler this choreo session is perfect. This is a choreo class which will put your sexy side to the test. Come and learn one of Dan's signature heels flow choreo routines which he will teach us in this 1.5 hour class. This class is suitable for all levels and includes some basic pole but is more focused on dance and base pole work. Things you will need for this class: Heels, Bottle of water, towel and knee pads",,11:00 - 12:30,Ausgebucht,1 Einheit
★DAN ROSEN★ Dan’s Favourite Combo’s Intermediate,Poledance,"Samstag, 8. Februar 2025",,Einzelticket,Pole Dance Krefeld,https://www.eversports.de/e/workshop/TlPaiqV,Workshop,,"This class will cover Dan’s favourite combos (static & spinning) on intermediate level. He will adapt the combo to each level of student to make it fun for all in class. Students are welcome to give moves which they like to do or would like to learn and Dan will try to help you create a combo around this trick. So not only will we get to learn Dan’s combos, we will also get the techniques to learn how to make our very own combo’s with moves which we love. For this class you will ideally be working towards air inverts, Shoulder mount, superman, extended butterflies & Gemini/ scorpios.",,15:00 - 16:30,"ab 63,00 €",1 Einheit
Aerial Hoop | Intermediate,Aerial Hoop,"Sonntag, 9. März 2025",,Einzelticket,Pole Dance Krefeld,https://www.eversports.de/e/workshop/I9S6O-_,Workshop,,"Im Vergleich zum Beginner Hoop Workshop, wird hier mehr Kraft vorausgesetzt und mehr Erfahrung an der Pole. Sich mit den Armen anheben und einen V-Split zu halten ist hier Voraussetzung. Auch gehen wir eine Etage höher, das heißt wir nutzen auch den oberen Bereich des Hoops, um dort die Beine über zu schlagen. In dem Workshop werden sowohl einzelne Tricks und Techniken erklärt als auch das Erlernte in eine Combo verpackt.",,12:45 - 14:45,"ab 35,00 €",1 Einheit
Aerial Hoop | absolute Beginner,Aerial Hoop,"Sonntag, 9. März 2025",,Einzelticket,Pole Dance Krefeld,https://www.eversports.de/e/workshop/iYial-Z,Workshop,,"Mach deine ersten Schritte in die Welt des Aerial Hoop! In diesem Workshop für Anfänger lernst du grundlegende Figuren und Kombinationen im Reifen. Gemeinsam üben wir Ein- und Ausgänge, die nicht nur elegant aussehen, sondern dir auch Sicherheit und Kontrolle geben. Perfekt, um die Grundlagen zu legen und ein Gefühl für den Reifen zu entwickeln – Spaß und Erfolg garantiert! Vorkenntnisse: Keine",,15:00 - 17:00,Ausgebucht,1 Einheit
Aerial Hoop | Beginner,Aerial Hoop,"Sonntag, 9. März 2025",,Einzelticket,Pole Dance Krefeld,https://www.eversports.de/e/workshop/rvvxAop,Workshop,,"Dieser Workshop passt zu dir, wenn du den 'absolute Beginner' Workshop bereits 1-2x mitgemacht hast und mit den Inhalten gut zurecht gekommen bist. Auch hier lernen und vertiefen wir die grundlegenden Hoop Figuren aus dem Anfängerbereich und verbinden diese zu schönen fließenden Kombinationen. Vorkenntnisse: Hoop Grundkenntnisse/Vorerfahrung",,17:15 - 19:15,Ausgebucht,1 Einheit
Floorwork,Floorwork,"Samstag, 12. April 2025",,Einzelticket,Pole Dance Krefeld,https://www.eversports.de/e/workshop/E1z8vVL,Workshop,,"Lerne eine abwechslungsreiche Floorwork Choreografie, die durch fließende Übergänge und dynamische Beinbewegungen überzeugt. In diesem Workshop legen wir den Fokus auf fließende Bewegungen, kreative Übergänge und vielseitige Kombinationen. Von sinnlichen Akzenten bis hin zu spielerischen Details. Vorkenntnisse: Keine Kleidung: Leggings, Socken, Knieschoner",,12:30 - 14:30,"ab 35,00 €",1 Einheit
Chair Dance - Devil Devil Choreo | alle Level,Chairdance,"Sonntag, 27. April 2025",,Einzelticket,Pole Dance Krefeld,https://www.eversports.de/e/workshop/9R9kw9E,Workshop,,"Hier lernt ihr in 2 Stunden die Chair Dance Choreo, die Jenny und Janina auf der letzten Weihnachtsfeier vorgeführt haben. Der Kurs ist für Anfänger geeignet. Kleidung: Leggings und Socken (keine High Heels) Vorkenntnisse: Keine",,12:30 - 14:30,"ab 35,00 €",1 Einheit
POLE FICTON Workshops,Poledance,"Beginnt am Freitag, 25. April 2025",,"Exquisite Edgework Ticket für Fr. 25.04.2025, 19:15 - 20:45",Pole Faction - Darmstadt,https://www.eversports.de/e/workshop/IIaXMk2,Workshop,,"17:30 Uhr - Heelography Lerne eine aufregende Choreografie in High Heels, mit Fokus auf Musikalität und Teresa's einzigartigem urbanem Stil! Wir kombinieren elegante Bewegungen mit fließenden Übergängen und einer sexy Ausstrahlung. Im Workshop liegt der Schwerpunkt auf Musikalität, Technik, Selbst-Ausdruck und dem Styling der Bewegungen passend zu deinem Geschmack und persönlichen Stil. High Heels werden empfohlen, sind aber nicht zwingend notwendig. Bitte bringe Knieschoner mit. ﻿ 19:15 Uhr - Exquisite Edgework (Technik) ﻿Mach dich bereit für ein technisches Workshop-Highlight! Hier lernst du, alle Kanten deiner Schuhe tänzerisch zu nutzen, mit raffiniertem Fußspiel und faszinierenden neuen Bewegungsmustern. Danach setzen wir die Technik in einer kleinen Choreografie um. Entdecke Pole Fictions Methodik, um diese Bewegungen sicher und elegant auszuführen – und erweitere dein Bewegungsrepertoire um atemberaubende neue Möglichkeiten! Platform Heels sind erforderlich, bevorzugt Sandalen, aber Boots sind auch möglich. Trage vor allem das, worin du dich wohlfühlst.",,"Heidelberger Landstrasse 237, 64297 Darmstadt","ab 75,00 €",2 Einheiten
"""Tantric Movement""",Dehnung/Flexibilität,"Samstag, 8. Februar 2025",,"Kölner Straße 336a, 40227 Düsseldorf",Pole Land,https://www.eversports.de/e/workshop/f6U1A-N,Workshop,,"In this transformative workshop, we’ll explore the power of tantric yoga to unlock deep freedom and calm within your body. Through a dynamic blend of dance, stretching, breathing, and mindful movement exercises, you'll connect with your inner rhythm, release tension, and awaken your natural confidence. Whether you're new to yoga or experienced, this workshop invites you to explore movement in a joyful, non-judgmental way. Join us for an experience that will leave you feeling grounded, inspired, and more in tune with your own body.  The workshop is taught in English. You should wear warm, comfortable clothes.",,12:20 - 13:50,ab 0 €,1 Einheit
Lap Dance,Lapdance,"Samstag, 8. Februar 2025",,"Kölner Straße 336a, 40227 Düsseldorf",Pole Land,https://www.eversports.de/e/workshop/mjSe7rc,Workshop,,"Erlebe mit Daria einen aufregenden und sinnlichen Lapdance-Workshop, der dir die Grundlagen der verführerischen Tanzkunst näherbringt. Lerne, dich mit Selbstbewusstsein und Sexappeal zu bewegen, während du Schritt für Schritt eine Choreo mit deinem/einem Partner tanzt. Der Workshop eignet sich prima um die Choreo am Valentinstag noch einmal zu vertiefen. Daria zeigt dir, wie du deine sinnliche Seite ausdrückst und dich dabei sicher und selbstbewusst fühlst. Ideal für alle, die einfach ein kleines Abenteuer erleben möchten. Egal ob alleine oder zu Zweit. Es sind keine Vorkenntnisse erforderlich – komm, wie du bist!",,14:00 - 15:30,"ab 45,00 €",1 Einheit
Frame Up - Porn Hub edition,Frame Up,"Freitag, 14. Februar 2025",,"Kölner Straße 336a, 40227 Düsseldorf",Pole Land,https://www.eversports.de/e/workshop/V3ioj0e,Workshop,,"Porn Hub Valentins Special – Celebrate Yourself and Spread LoveFreitag, 14. Februar | 19:30 – 21:00 Uhr   Lass den Valentinstag mal ganz anders erleben und feiere dich selbst! Bei unserem exklusiven Frame Up Workshop zum Valentinstag bringen wir dich in eine verführerische Stimmung und lassen gemeinsam die Leidenschaft entflammen. Es wird wild, sexy und voller Energie – ein Abend, den du nicht vergessen wirst!   Mitzubringen: Zum Auftakt stoßen wir mit einem kleinen Sekt an und dann geht es auch schon los.   Preise: Anmeldung:Buchungen bitte per Mail an: Daria.Penzina@googlemail.com",,19:30 - 21:00,ab 0 €,1 Einheit
Aerial Hoop,Aerial Hoop,"Samstag, 22. Februar 2025",,"Kölner Straße 336a, 40227 Düsseldorf",Pole Land,https://www.eversports.de/e/workshop/zKr1ygg,Workshop,,"Habt ihr Interesse am akrobatischen Luftring? Für diesen Workshop kommt Rike wieder zu uns ins Studio.In diesem Aerial-Hoop-Workshop werden wir an einer Spinning-Combo feilen. Am Ende können wir vielleicht das Erlernte zu einer Choreo verbinden und filmen. Aber keine Angst, dieser Workshop ist für ALLE Level. Rike passt alles dem Niveau der bzw. des Teilnehmers an und kann mehrere Variationen vermitteln. Ihr braucht:",,12:00 - 13:30,"ab 40,00 €",1 Einheit
Bendy Illusions – Pole Workshop mit Lea,Poledance,"Samstag, 3. Mai 2025",,"Kölner Straße 336a, 40227 Düsseldorf",Pole Land,https://www.eversports.de/e/workshop/SXrdczD,Workshop,,"Dauer: 90 MinutenLevel: All Level Voraussetzungen: Leghang, Brassmonkey Erlebe die Welt der flexiblen Pole-Tricks, die keine extreme Flexibilität erfordern! In unserem Workshop ""Bendy Illusions"" mit der talentierten Lea lernst du atemberaubende Illusionen, die deine Bewegungen geschmeidig und elegant erscheinen lassen. Obwohl die Tricks auf den ersten Blick viel Flexibilität verlangen, sind sie auch alle Levels geeignet, die bereits den Leghang und Brassmonkey beherrschen. Preise: Melde dich schnell an und sichere dir deinen Platz für diesen einzigartigen Workshop, in dem du deine Pole-Fähigkeiten auf das nächste Level bringen wirst!",,16:00 - 17:30,"ab 35,00 €",1 Einheit
Video Shooting,Poledance,"Samstag, 25. Januar 2025",,"Ravensburger Straße 110-112, 50739 Köln",Pole Paradise,https://www.eversports.de/e/workshop/Aic-m55,Workshop,,"Samstag 25.01.24 14:00 - 22:00 Videoshooting Es ist Zeit! für das erste hauseigen organisierte Videoshooting für Trainer und Schüler in unserem Studio. Der 25.01.24 wird ab 14 Uhr genutzt, um von euch an eurem Lieblingsgerät - in eurem Lieblingskostüm - professionelle Videos zu produzieren. Jeder bekommt einen 30 Minütigen Slot - ob ihr diesen einzeln oder gemeinsam wahrnehmen möchtet, klären wir gerne individuell. Also bei zwei Personen sind es dann 60 Minuten u.s.w  Das Gerät sucht ihr selbst aus bzw ihr könnt auch wechseln. Also alles was ihr in den 30 Minuten schafft - wird nach euren Wünschen gemacht. Eine Trainerin ist die ganze Zeit anwesend und wird euch mit Rat und Tat zur Seite stehen. Kosten: 60€ p.p Ihr habt weitere Fragen? Meldet euch gerne via Mail an poleparadise@gmx.de",,14:00 - 22:00,"ab 60,00 €",1 Einheit
Chair Dance mit Viktoria Schulik,Tanzen,"Sonntag, 26. Januar 2025",,"Ravensburger Straße 110-112, 50739 Köln",Pole Paradise,https://www.eversports.de/e/workshop/n6kdzoV,Workshop,,"Ja, ein Stuhl ist zum sitzen da. Aber viel mehr noch zum Tanzen. So finden wir das zumindest! Genialerweise kann den Tanz auf dem Stuhl jeder lernen und wir fördern ganz nebenbei die Koordination, die Körperspannung und auch Haltung und Achtung (!) auch die Ausdauer. Was will man mehr? Viktoria ist bekannt für Ihre sexy weiblichen Choreographien die nicht einfach nur Spaß machen sondern zusätzlich noch ein ganz neues Körpergefühl mitgeben. Wann: 26.01.24 Uhrzeit 15:15 - 16:45 Uhr Preis: 35 Euro pro Person",,15:15 - 16:45,"ab 35,00 €",1 Einheit
Contemporary Dance mit Darya,Tanzen,"Samstag, 1. Februar 2025",,"Ravensburger Straße 110-112, 50739 Köln",Pole Paradise,https://www.eversports.de/e/workshop/SE3jcWr,Workshop,,"Contemporary Dance ist kontrollierte Fußtechnik des Ballets mit der Betonung des Oberkörpers im Modern Dance, sowie die Anwendung von Contract and Release, Bodenarbeit, Recovery and Falls sowie Improvisation. Unvorhersehbare Wechsel von Rhythmus. Geschwindigkeit und Richtung werden ebenfalls oft eingesetzt.  Und dieses Tanztechniken erlernst du in diesem zweistündigem Workshop mit Darya. Schon im großzügig aufgebautem Warm up unterrichtet sie Bewegungen, die in der Choreographie vorkommen werden. Wie passt Contemporary Dance eigentlich mit Pole Paradise zusammen? Die erlernten Tanzstile kannst du an allen Geräten mit anwenden. Ob am Tuch/am Hoop oder an der Pole. Jeder Tanzstil ist vereinbar mit Akrobatik. Datum 29-06-24 Uhrzeit: 16:00 Uhr Preis 40Euro p.p Dauer 2 Stunden BITTE BRING KNIESCHONER ZU DEM WORKSHOP MIT",,15:00 - 16:30,"ab 35,00 €",1 Einheit
Heels Dance,Poledance,"Begann am Mittwoch, 8. Januar 2025",,18:00 - 19:00,Pole Plus,https://www.eversports.de/e/workshop/pnvfcFB,Workshop,,"Hey Ladies! Bereit, deine Weiblichkeit in Schwung zu bringen und dabei richtig Spaß zu haben? Dann schnapp dir deine Lieblings-High-Heels und mach dich bereit für unseren ultimativen Heels Dance Workshop! Keine Sorge, wenn du noch nie in Heels getanzt hast – hier geht's locker und entspannt zu. Wir schwitzen gemeinsam, lachen viel und lassen die Hüften kreisen! Von sexy Moves bis hin zu einer tollen Choreografie ist alles dabei. Und das Beste? Du kannst ganz du selbst sein – hier geht es nicht um Perfektion, sondern darum, dich frei und selbstbewusst zu fühlen. Also, worauf wartest du noch? Schnapp dir deine Heels und sei dabei! Lass uns gemeinsam unsere Weiblichkeit feiern – in einem Workshop, der dich zum Strahlen bringt! Der Heels Workshop findet ohne Pole Stange statt. Dresscode: Kleidung, in der du dich wohlfühlst. Ob lange Jogginghose, kurze Hose, Sport BH oder T-Shirt In deinen Heels solltest du guten Halt haben. Die höhe des Absatzes darfst du selbst wählen. Der Workshop findet ab einer Mindestteilnehmerzahl von 5 Personen statt.",,"Ulmer Straße 152, 86156 Augsburg","ab 75,00 €",4 Einheiten
Aerial Hoop Beginner,Poledance,"Begann am Freitag, 17. Januar 2025",,18:30 - 19:30,Pole Plus,https://www.eversports.de/e/workshop/5u0pA8J,Workshop,,Entdecke deine neue Leidenschaft! Wir gewöhnen uns an den Luftring und erlernen die ersten Figuren. Es wird kein spezielles Fitnesslevel vorausgesetzt.,,"Ulmer Straße 152, 86156 Augsburg","ab 68,00 €",4 Einheiten
Heels Dance,Poledance,"Beginnt am Sonntag, 9. Februar 2025",,18:00 - 19:00,Pole Plus,https://www.eversports.de/e/workshop/zjIBnfl,Workshop,,"Hey Ladies! Bereit, deine Weiblichkeit in Schwung zu bringen und dabei richtig Spaß zu haben? Dann schnapp dir deine Lieblings-High-Heels und mach dich bereit für unseren ultimativen Heels Dance Workshop! Keine Sorge, wenn du noch nie in Heels getanzt hast – hier geht's locker und entspannt zu. Wir schwitzen gemeinsam, lachen viel und lassen die Hüften kreisen! Von sexy Moves bis hin zu einer tollen Choreografie ist alles dabei. Und das Beste? Du kannst ganz du selbst sein – hier geht es nicht um Perfektion, sondern darum, dich frei und selbstbewusst zu fühlen. Also, worauf wartest du noch? Schnapp dir deine Heels und sei dabei! Lass uns gemeinsam unsere Weiblichkeit feiern – in einem Workshop, der dich zum Strahlen bringt! Der Heels Workshop findet ohne Pole Stange statt. Dresscode: Kleidung, in der du dich wohlfühlst. Ob lange Jogginghose, kurze Hose, Sport BH oder T-Shirt In deinen Heels solltest du guten Halt haben. Die höhe des Absatzes darfst du selbst wählen. Der Workshop findet ab einer Mindestteilnehmerzahl von 5 Personen statt.",,"Ulmer Straße 152, 86156 Augsburg","ab 75,00 €",4 Einheiten
Aerial Hoop Fortgeschritten,Poledance,"Beginnt am Freitag, 21. Februar 2025",,18:30 - 19:30,Pole Plus,https://www.eversports.de/e/workshop/c4prlTY,Workshop,,"Am Workshop teilnehmen können: Personen, die bereits am Aerial Hoop Beginner Workshop teilgenommen haben. Es wird ein fortgeschrittenes Fitnesslevel (Kraft und Flexibilität) vorausgesetzt.",,"Ulmer Straße 152, 86156 Augsburg","ab 68,00 €",4 Einheiten
Valentines Lap Dance Workshop mit MICHINO,Poledance,"Samstag, 8. Februar 2025",,Gesamtticket,Pole Werk by Nelly,https://www.eversports.de/e/workshop/T7MASa6,Workshop,,"Passend zu Valentinstag wird es heiß! In diesen 90 Minuten Workshop werden wir Schritt für Schritt eine sinnliche, kraftvolle Lap Dance Choreografie aufund um den Stuhl erarbeiteten. Der Fokus liegt auf dem Ausdruck, das verbinden einzelner Elemente und diese auf die Musik anzupassen. Ihr benötigt keinerlei Vorkenntnisse und der Workshop ist für Anfänger geeignet.",,12:30 - 14:00,"ab 35,00 €",1 Einheit
Pole Power Up,Poledance,"Samstag, 8. Februar 2025",,Einzelticket,Pole and Move Heidelberg,https://www.eversports.de/e/workshop/ZI_pGiY,Workshop,,"Möchtest du endlich Moves wie Open V, Ayesha und Shouldermount meistern? Oder deine Ausführung generell verbessern und deine Kraft aufbauen? Dann nimm an unserem spezialisierten Workshop zur Stärkung der Oberkörpermuskulatur teil! Wir legen besonderen Fokus auf die Schulterstabilität, die bei kopfüber Figuren entscheidend ist. Ziel des Workshops ist es, dir Inspirationen und Übungen für dein Training zu Hause zu vermitteln, sodass du deine Trainingsplanung und -durchführung optimal gestalten kannst. Das Training findet off-pole statt, sodass du dich ganz auf den Aufbau deiner Kraft konzentrieren kannst. Dieser Workshop ist für alle Levels geeignet. Es wird verschiedene Schwierigkeitsgrade geben. Wenn du folgendes Zuhause hast, kannst du es gerne mitbringen: Widerstandsbänder (normale und Loops) mit leichtem bis mittlerem Widerstand, die in der Regel ausreichend sind. Der Workshop kostet für Mitglieder einen Aufpreis von 6,00€.",,10:30 - 11:40,"ab 30,00 €",1 Einheit
Pole Beginner Choreo – Deine erste Pole-Choreografie!,Poledance,"Sonntag, 9. Februar 2025",,Einzelticket,Pole and Move Heidelberg,https://www.eversports.de/e/workshop/xY2QDkj,Workshop,,"Was erwartet dich? Wichtig: Dieser Kurs ist für Teilnehmer geeignet, die bereits mindestens 6 Monate Poledance-Erfahrung haben. Mit einer soliden Basis kannst du die Choreografie leichter umsetzen und noch mehr Freude daran haben! Bitte bring bequeme Kleidung, kurze Shorts und gute Laune mit. Tauche ein in die faszinierende Welt des Poledance und meistere Schritt für Schritt deine erste eindrucksvolle Choreografie! 💃",,10:30 - 11:40,"ab 30,00 €",1 Einheit
Pole Intermediate Choreo – Bring deine Moves auf die nächste Stufe!,Poledance,"Sonntag, 9. März 2025",,Einzelticket,Pole and Move Heidelberg,https://www.eversports.de/e/workshop/-yMEPGU,Workshop,,"Was erwartet dich? Wichtig: Dieser Kurs ist für Teilnehmer geeignet, die Open V, Inverts sowie den Inside- und Outside-Hang sicher beherrschen. Mit diesen Voraussetzungen kannst du die anspruchsvollen Elemente der Choreografie voll auskosten! Bitte bring bequeme Kleidung, kurze Shorts und Knieschoner mit. Lass dich von der Dynamik und Eleganz des Poledance inspirieren und kreiere eine Choreografie, die deine Fähigkeiten in den Fokus stellt! 💪✨",,10:30 - 11:40,"ab 30,00 €",1 Einheit
Pole Art mit Valery,Polesport,"Freitag, 28. März 2025",,"Ticket für Fr. 28.03.2025, 16:30 - 18:00",Pole and Move Heidelberg,https://www.eversports.de/e/workshop/quMKyvp,Workshop,,"In diesem Workshop ""Pole Art"" dreht sich alles um sinnliche Choreografie an der Pole, die ohne High Heels und spezielle Tricks auskommt. Hier steht die kreative Ausdrucksform im Vordergrund, während verschiedene Bewegungen und Übergänge am Boden sowie am Pole erkundet werden. Du lernst, wie du deinen eigenen Stil und deine Persönlichkeit in die Choreografien einbringen kannst. Dabei werden verschiedene Übergänge am Boden integriert, um die Verbindung zwischen Tanz und Pole-Elementen zu stärken. Der Workshop ist für alle Levels geeignet, sodass sowohl Anfänger als auch Fortgeschrittene teilnehmen können. In einer unterstützenden und inspirierenden Umgebung hast du die Möglichkeit, dein Körperbewusstsein zu verbessern und deinen tänzerischen Ausdruck zu entwickeln. Lass dich von der Musik leiten und entdecke die Vielfalt und Eleganz des Pole Arts! In diesem Workshop teilen sich 2 Teilnehmer je eine Stange.",,16:30 - 18:00,"ab 60,00 €",1 Einheit
Exotik & Strip Basic mit Valery,Polesport,"Freitag, 28. März 2025",,"Ticket für Fr. 28.03.2025, 18:15 - 19:45",Pole and Move Heidelberg,https://www.eversports.de/e/workshop/shW7t9f,Workshop,,"Dieser Workshop richtet sich an alle, die neu im Bereich des exotischen Tanzes sind oder ihre technischen Fähigkeiten im Tanz verbessern möchten. Egal, ob du absolute Anfängerin bist oder bereits erste Erfahrungen gesammelt hast, hier findest du die passende Unterstützung. Der Workshop umfasst verschiedene Aspekte des exotischen Tanzes sowie grundlegende Strip-Techniken. Die Teilnehmerinnen werden schrittweise an die Bewegungen herangeführt, um sowohl das Körperbewusstsein als auch die Ausdrucksform zu stärken. Der Workshop bietet eine einladende und sichere Atmosphäre, in der alle Levels willkommen sind. Du kannst in deinem eigenen Tempo lernen und die Freude am Tanz entdecken. In diesem Workshop teilen sich 2 Teilnehmer je eine Stange.",,18:15 - 19:45,"ab 60,00 €",1 Einheit
Pole Nick - Up to Date,Polesport,"Freitag, 28. März 2025",,"Ticket für Fr. 28.03.2025, 20:00 - 21:30",Pole and Move Heidelberg,https://www.eversports.de/e/workshop/Ycv0k-o,Workshop,,"In diesem Workshop präsentiert dir Nick seine liebsten Poletricks und Combos. Er wird dir die verschiedenen Figuren und Kombinationen beibringen und dir seine Tipps verraten, wie die Figuren noch besser aussehen. Also lass dir nicht die Chance entgehen, die Klassiker dieses einzigartigen Künstlers zu lernen und seine Geheimtricks zu erfahren. In diesem Workshop teilen sich 2 Teilnehmer je eine Stange. Für diesen Workshop solltest du bereits Vorerfahrung haben und mindestens im Intermediate Level trainieren.",,20:00 - 21:30,"ab 60,00 €",1 Einheit
